pid,hid,avg_rec
114701,11479,2.888888888888889
114702,11479,1.1111111111111112
114801,11487,3.0
114802,11487,1.3333333333333333
114901,11495,1.8888888888888888
114902,11495,1.5555555555555556
114903,11495,4.0
114904,11495,2.0
115001,11509,3.6666666666666665
115002,11509,4.111111111111111
115702,79154,3.6666666666666665
115703,125296,4.0
115704,11576,1.7777777777777777
115706,114960,4.333333333333333
115802,11584,1.0
115804,75140,4.333333333333333
115805,66265,4.888888888888889
116002,60488,1.2222222222222223
116701,11673,1.0
116901,11690,4.444444444444445
116902,11690,3.7777777777777777
116903,11690,1.4444444444444444
117701,11770,1.8888888888888888
117702,11770,2.3333333333333335
117801,82910,3.111111111111111
117901,11797,2.3333333333333335
117902,11797,5.666666666666667
118501,11851,2.111111111111111
118502,11851,2.5555555555555554
118503,11851,3.0
118601,11860,3.3333333333333335
118603,11860,6.333333333333333
118801,11886,4.666666666666667
118802,11886,2.6666666666666665
119103,108308,3.6666666666666665
120302,12033,2.111111111111111
120402,12041,3.4444444444444446
120403,85774,2.3333333333333335
120404,97039,3.5555555555555554
121101,12114,5.333333333333333
121102,12114,3.0
121103,12114,2.0
121202,12122,1.5555555555555556
121501,12157,5.111111111111111
121502,108707,3.7777777777777777
121503,108715,3.3333333333333335
121504,108707,3.0
122203,12220,2.6666666666666665
122301,12238,3.6666666666666665
122302,12238,4.333333333333333
122602,12262,1.5555555555555556
122603,60992,3.5555555555555554
122604,100536,1.3333333333333333
122802,12289,4.666666666666667
